,Position,Oral,Written,Race,Combine,Class,Bayes Classification
0,Captain,90.6057687628554,89.48977034076471,W,85.56009643928687,1,1
1,Captain,75.40939128005269,90.48740134332569,W,83.68700778473416,1,1
2,Captain,76.67744724072935,82.00306016851869,W,80.6241945718348,1,1
3,Captain,85.476325405008,73.01362452841913,W,76.62264521226477,1,1
4,Captain,72.49952056239823,78.99760380722003,W,76.34916577271525,1,1
5,Captain,79.76896903990718,86.50816269376165,O,85.56009643928687,1,1
6,Captain,71.89201748835879,77.50389185359731,W,75.37112721362135,1,1
7,Captain,74.22535017111792,89.48977034076471,O,83.68700778473416,1,1
8,Captain,70.0369278954814,76.98736959689779,W,74.4886528842113,1,1
9,Captain,79.76896903990718,68.75202037301844,W,73.63764005781624,1,1
10,Captain,83.98601350476,66.50098996380959,W,72.81690578148894,1,1
11,Captain,75.41437926281256,70.00957885974152,W,72.76851590670543,1,1
12,Captain,83.27068160857188,79.00960952404748,O,80.19584157664546,1,1
13,Captain,70.0369278954814,73.9965973076757,W,71.99750753307958,1,1
14,Captain,72.49952056239823,70.00957885974152,W,71.1021275113459,1,1
15,Captain,85.476325405008,72.98121155418795,O,78.84478413687063,1,1
16,Captain,66.90781398069718,69.9975341157922,W,70.22884074199287,1,1
17,Captain,63.59367320268451,72.99725926142236,W,69.74259375787788,1,1
18,Captain,72.49952056239823,78.73717614593426,O,76.34916577271525,1,1
19,Captain,79.76896903990718,59.49570804369293,W,67.30819665771341,1,1
20,Captain,53.95789882447404,76.98736959689779,W,66.8811644037221,1,0
21,Captain,76.67744724072935,72.99725926142236,O,73.63764005781624,1,1
22,Captain,58.568591395464324,70.98233869785048,W,65.37735732925077,0,0
23,Captain,74.22535017111792,59.49570804369293,W,65.2685466322612,0,0
24,Captain,64.46845099682375,66.23743155676952,W,64.88091812758242,0,0
25,Captain,64.46845099682375,64.50741408568196,W,65.07589295013301,0,0
26,Captain,56.64791734751882,72.99725926142236,W,64.65033456024722,0,0
27,Captain,66.90781398069718,80.75070510297337,O,72.81690578148894,0,1
28,Captain,54.40965238678849,71.4954764405238,W,62.87405171107785,0,0
29,Captain,55.5590524011874,82.00306016851869,O,71.1021275113459,0,1
30,Captain,70.65390664052174,68.75202037301844,O,69.74259375787788,0,1
31,Captain,53.49699125651231,63.23377304642196,W,60.577976479007376,0,0
32,Captain,65.10900738647648,68.00172750676342,O,66.58041293712553,0,0
33,Captain,45.53738040006499,66.23743155676952,W,57.57621590858281,0,0
34,Captain,71.89201748835879,60.488893684441656,O,65.07589295013301,0,0
35,Captain,63.59367320268451,64.50741408568196,O,64.27358588576992,0,0
36,Captain,74.82501837161306,55.006791995480796,O,62.87405171107785,0,0
37,Captain,46.437388734737034,70.98233869785048,O,62.20794756758594,0,0
38,Captain,49.491564576891435,51.748287390143986,W,51.2130820723791,0,0
39,Captain,66.46391359850969,57.50142750090765,O,58.94090729193972,0,0
40,Captain,58.568591395464324,53.76172739977639,O,54.434516677966286,0,0
41,Lieutenant,90.6057687628554,86.50816269376165,W,85.56009643928687,1,1
42,Lieutenant,83.27068160857188,81.50057834314396,W,81.49818463479454,1,1
43,Lieutenant,73.33371986496245,86.48231578978621,W,81.49818463479454,1,1
44,Lieutenant,81.25464087170579,78.73717614593426,W,80.19584157664546,1,1
45,Lieutenant,75.41437926281256,80.75070510297337,W,80.06549044011891,1,1
46,Lieutenant,68.12078381517998,86.50816269376165,W,80.06549044011891,1,1
47,Lieutenant,75.83152715861718,79.00960952404748,W,78.54230477462272,1,1
48,Lieutenant,66.46391359850969,84.50946564646947,W,78.84478413687063,1,1
49,Lieutenant,59.586128325909456,90.48740134332569,W,77.48144655665224,1,1
50,Lieutenant,61.880556918395456,86.49649791395836,W,77.48144655665224,1,1
51,Lieutenant,63.125550442553546,80.75070510297337,W,75.37112721362135,1,1
52,Lieutenant,69.79849794506885,77.00427678748099,W,74.38398121718777,1,1
53,Lieutenant,55.5590524011874,84.50946564646947,W,73.63764005781624,1,1
54,Lieutenant,81.25464087170579,81.50057834314396,O,81.49818463479454,1,1
55,Lieutenant,67.50088966766867,90.48740134332569,O,80.6241945718348,1,1
56,Lieutenant,83.98601350476,76.98736959689779,O,80.06549044011891,1,1
57,Lieutenant,70.65390664052174,74.5001266225691,W,71.99750753307958,1,1
58,Lieutenant,59.162895929806126,78.73717614593426,W,71.24319404974975,1,1
59,Lieutenant,83.98601350476,62.00233882976366,W,70.22884074199287,1,1
60,Lieutenant,69.79849794506885,84.50946564646947,O,78.54230477462272,1,1
61,Lieutenant,74.22535017111792,66.75876209365674,W,69.41155893077398,1,1
62,Lieutenant,75.40939128005269,78.99760380722003,O,77.48144655665224,1,1
63,Lieutenant,61.880556918395456,72.00013390701682,W,68.61302317127809,1,0
64,Lieutenant,90.6057687628554,63.23377304642196,O,76.62264521226477,1,1
65,Lieutenant,66.46391359850969,68.49922316049819,W,68.61302317127809,1,0
66,Lieutenant,67.0940386520176,68.00172750676342,W,67.79774006865564,1,0
67,Lieutenant,59.586128325909456,86.49649791395836,O,75.37112721362135,1,1
68,Lieutenant,73.3217974944241,76.00279105432355,O,74.4886528842113,1,1
69,Lieutenant,61.03840577410981,70.50033510883412,W,66.58041293712553,1,0
70,Lieutenant,55.09588175233685,75.48826440104312,W,66.8811644037221,1,0
71,Lieutenant,56.64791734751882,86.48231578978621,O,74.38398121718777,1,1
72,Lieutenant,73.3217974944241,61.990974488721136,W,65.84288323825388,1,0
73,Lieutenant,67.50088966766867,63.994203404463846,W,65.54586714943345,1,0
74,Lieutenant,65.21532196664589,66.49506190894556,W,65.54586714943345,1,0
75,Lieutenant,59.586128325909456,68.75202037301844,W,65.07589295013301,0,0
76,Lieutenant,75.83152715861718,71.4954764405238,O,72.76851590670543,0,1
77,Lieutenant,67.50088966766867,61.990974488721136,W,64.27358588576992,0,0
78,Lieutenant,55.82519779449363,72.98121155418795,W,64.27358588576992,0,0
79,Lieutenant,48.53579901621291,76.00279105432355,W,63.898578028705614,0,0
80,Lieutenant,68.12078381517998,75.48826440104312,O,71.99750753307958,0,1
81,Lieutenant,49.491564576891435,74.5001266225691,W,63.602367118813646,0,0
82,Lieutenant,75.41437926281256,68.49922316049819,O,71.24319404974975,0,1
83,Lieutenant,60.20326223727419,66.75876209365674,W,62.87405171107785,0,0
84,Lieutenant,74.82501837161306,53.76172739977639,W,62.20794756758594,0,0
85,Lieutenant,61.880556918395456,77.50389185359731,O,70.22884074199287,0,1
86,Lieutenant,52.71287423205023,69.01971297111676,W,61.52580308740762,0,0
87,Lieutenant,70.0369278954814,69.01971297111676,O,69.41155893077398,0,0
88,Lieutenant,46.437388734737034,71.4954764405238,W,60.577976479007376,0,0
89,Lieutenant,64.46845099682375,73.01362452841913,O,68.61302317127809,0,0
90,Lieutenant,73.33371986496245,63.994203404463846,O,67.79774006865564,0,0
91,Lieutenant,54.40965238678849,73.9965973076757,O,67.30819665771341,0,0
92,Lieutenant,65.10900738647648,51.748287390143986,W,59.68931132302488,0,0
93,Lieutenant,52.71287423205023,74.5001266225691,O,66.8811644037221,0,0
94,Lieutenant,53.49699125651231,62.00882775101401,W,58.94090729193972,0,0
95,Lieutenant,63.125550442553546,66.75876209365674,O,65.84288323825388,0,0
96,Lieutenant,61.03840577410981,66.23743155676952,O,65.54586714943345,0,0
97,Lieutenant,45.53738040006499,77.00427678748099,O,65.37735732925077,0,0
98,Lieutenant,53.49699125651231,70.50033510883412,O,65.2685466322612,0,0
99,Lieutenant,59.162895929806126,66.49506190894556,O,64.88091812758242,0,0
100,Lieutenant,53.95789882447404,69.9975341157922,O,64.65033456024722,0,0
101,Lieutenant,46.437388734737034,63.23377304642196,W,57.57621590858281,0,0
102,Lieutenant,56.64791734751882,55.006791995480796,W,57.22128054539553,0,0
103,Lieutenant,49.491564576891435,72.00013390701682,O,63.898578028705614,0,0
104,Lieutenant,67.0940386520176,62.00882775101401,O,63.602367118813646,0,0
105,Lieutenant,55.09588175233685,53.50603801407016,W,56.04957821900925,0,0
106,Lieutenant,47.708412291835714,57.50142750090765,W,54.434516677966286,0,0
107,Lieutenant,42.92007022361434,61.00354873695188,W,54.434516677966286,0,0
108,Lieutenant,47.708412291835714,70.00957885974152,O,61.52580308740762,0,0
109,Lieutenant,42.92007022361434,60.488893684441656,W,53.86687792387704,0,0
110,Lieutenant,60.20326223727419,61.990974488721136,O,60.577976479007376,0,0
111,Lieutenant,51.45520571359104,53.76172739977639,W,51.2130820723791,0,0
112,Lieutenant,65.21532196664589,59.49570804369293,O,59.68931132302488,0,0
113,Lieutenant,42.92007022361434,66.50098996380959,O,57.57621590858281,0,0
114,Lieutenant,55.09588175233685,61.00354873695188,O,57.22128054539553,0,0
115,Lieutenant,51.45520571359104,62.00233882976366,O,56.04957821900925,0,0
116,Lieutenant,55.82519779449363,53.50603801407016,O,53.86687792387704,0,0
117,Lieutenant,48.53579901621291,51.748287390143986,O,51.2130820723791,0,0
